Subsequence: lv, Frequency: 1
Subsequence: js, Frequency: 2
Subsequence: lkv, Frequency: 1
Subsequence: nll, Frequency: 1
Subsequence: ks, Frequency: 1
Subsequence: jsl, Frequency: 1
Subsequence: jl, Frequency: 2
Subsequence: sd, Frequency: 1
Subsequence: akj, Frequency: 1
Subsequence: fj, Frequency: 2
Subsequence: sdf, Frequency: 1
Subsequence: kvn, Frequency: 2
Subsequence: aaj, Frequency: 1
Subsequence: jf, Frequency: 2
Subsequence: ksd, Frequency: 1
Subsequence: dfj, Frequency: 1
Subsequence: alv, Frequency: 1
Subsequence: sla, Frequency: 1
Subsequence: la, Frequency: 1
Subsequence: kv, Frequency: 2
Subsequence: lak, Frequency: 1
Subsequence: jsa, Frequency: 1
Subsequence: nl, Frequency: 3
Subsequence: vn, Frequency: 3
Subsequence: lks, Frequency: 1
Subsequence: akd, Frequency: 2
Subsequence: lsa, Frequency: 2
Subsequence: kd, Frequency: 2
Subsequence: dj, Frequency: 2
Subsequence: jld, Frequency: 1
Subsequence: ak, Frequency: 3
Subsequence: ajl, Frequency: 1
Subsequence: aj, Frequency: 1
Subsequence: fjs, Frequency: 2
Subsequence: df, Frequency: 1
Subsequence: kdj, Frequency: 2
Subsequence: ld, Frequency: 1
Subsequence: aa, Frequency: 1
Subsequence: al, Frequency: 1
Subsequence: lvn, Frequency: 1
Subsequence: ldk, Frequency: 1
Subsequence: dk, Frequency: 1
Subsequence: nlk, Frequency: 1
Subsequence: flk, Frequency: 2
Subsequence: vnl, Frequency: 3
Subsequence: jfl, Frequency: 2
Subsequence: ls, Frequency: 2
Subsequence: dkv, Frequency: 1
Subsequence: nls, Frequency: 1
Subsequence: djf, Frequency: 1
Subsequence: djl, Frequency: 1
Subsequence: lf, Frequency: 1
Subsequence: jlf, Frequency: 1
Subsequence: sa, Frequency: 3
Subsequence: sal, Frequency: 1
Subsequence: fl, Frequency: 2
Subsequence: lk, Frequency: 3
Subsequence: sl, Frequency: 1
Subsequence: sak, Frequency: 2
Subsequence: kj, Frequency: 1
Subsequence: kjf, Frequency: 1
Subsequence: ll, Frequency: 1
Subsequence: lfj, Frequency: 1
Subsequence: lls, Frequency: 1
